Node_ID,Hop_Count,Transmission_Delay,Buffer_Occupancy,Channel_Utilization,Energy_Level,Link_Quality,Congestion_Status,Packet_Size,PDR,Traffic_Class,Routing_Algorithm,Latency_Category
27,4,40.8904337307482,95.80734801193802,97.30781629723329,0.5140954425512597,0.9658323197183326,Medium,1024,0.911797120888598,High-Priority,AODV,High Latency
28,9,17.156685849724013,36.79407513020845,22.612533124967193,0.308468281489484,0.2057943769894217,Medium,64,0.770259717936427,Normal,OLSR,Medium Latency
29,3,13.045229328221494,32.69316163380791,30.419871963628086,0.5730422006190157,0.7415661084668296,Medium,128,0.7808903197657612,High-Priority,DSR,Low Latency
30,5,19.04665116754662,14.888805033244468,30.39425122550273,0.3252111962762113,0.5466772648973117,Medium,1024,0.8964312140806264,High-Priority,DSR,Medium Latency
31,3,29.555717631488907,30.560421549021488,23.04166621173499,0.03926941424165231,0.8844787275967592,Medium,512,0.8170258116340641,High-Priority,DSR,Medium Latency
32,7,13.476375677061524,87.66507618282006,0.1473822086311416,0.27199860534435605,0.5539932555031309,Medium,512,0.7583643909099733,Normal,AODV,Medium Latency
33,5,31.24503050167179,99.63343376272474,72.93447940879963,0.006379043406590679,0.5345592191563087,Medium,512,0.9195038796362445,High-Priority,DCPO-AdaBoost,High Latency
34,9,20.529641444342897,36.83095305068483,96.68454997992853,0.9783547870568566,0.1954580003683999,High,1024,0.7462442573009002,High-Priority,AODV,Medium Latency
35,7,27.647154324513814,44.861063095454256,22.429348328504506,0.9657472098197475,0.16622936205165872,High,1024,0.956693099243484,Normal,DSR,Medium Latency
36,2,21.862713803852305,72.2070938202737,66.30471918034225,0.39515529747230504,0.9164891511155142,Medium,1024,0.8544008572155483,High-Priority,AODV,Medium Latency
37,4,14.793841401141691,88.61957804650746,74.18963269587151,0.728370854339646,0.32783819885003407,Medium,64,0.7317101811637902,High-Priority,AODV,Medium Latency
38,9,47.42782001741162,59.304433418678414,84.84253790905247,0.345806098410425,0.37208225496289593,High,128,0.9082217000592954,Normal,DSR,High Latency
39,2,38.203929128572064,39.15256981778293,42.262919701360914,0.671093157085976,0.7598236584283884,High,512,0.8557489118723621,High-Priority,AODV,High Latency
40,9,7.091647470745982,41.262184084862376,30.293090564042924,0.8054300430459791,0.33882348242280735,High,64,0.7894172715384429,Normal,OLSR,Low Latency
41,5,43.43655199730585,69.56181464968068,32.52951340230311,0.9467562446922407,0.9520624466390027,Medium,512,0.8267618140671564,High-Priority,AODV,High Latency
42,2,24.422816792650732,0.32182636042786816,71.26213330985128,0.400212275849672,0.7379277689988003,Low,64,0.7895013230762495,High-Priority,AODV,Medium Latency
43,4,44.73815612201516,61.95893374598407,81.6779466505636,0.7832979829560477,0.59742924257342,Low,1024,0.7789077507228351,Normal,DCPO-AdaBoost,High Latency
44,7,40.01277727177103,35.54930104413574,18.161396775660265,0.2659284506321188,0.8808951605447525,Low,512,0.7490825262531137,High-Priority,DCPO-AdaBoost,High Latency
45,8,21.31815387301475,79.41973312770843,37.09410081577652,0.9903323037936483,0.04960590834948275,Low,1024,0.8088301399412428,High-Priority,DSR,Medium Latency
46,3,1.2212184851738583,9.299063982313216,90.19401967491501,0.025769598764351143,0.25706269218920874,Medium,512,0.7752961618948212,High-Priority,DSR,Low Latency
47,1,13.507000233308808,58.82022669483905,80.66935196947392,0.603528806501121,0.46503633422090995,Low,256,0.905030346116175,Normal,DCPO-AdaBoost,Medium Latency
48,4,27.12754731157726,48.09728898861238,98.48584027624759,0.6595059816513271,0.22697853947152102,High,64,0.9051630223489919,Normal,OLSR,Medium Latency
49,2,31.71056316932475,64.23255259052274,75.42482596820807,0.6880455570741288,0.7439051873021519,High,256,0.8505520727666915,Normal,AODV,Medium Latency
50,8,12.968595503116793,6.485359448296835,39.319520102792225,0.12038757878908901,0.9192080310537252,Low,64,0.9333833582410963,Normal,OLSR,Low Latency
51,4,7.0538680962339235,57.99837874281313,59.06378339946377,0.9385297834731304,0.4237701199309234,High,128,0.9524019157018144,Normal,OLSR,Low Latency
52,2,41.763018816285026,56.14845879595237,66.10142542473203,0.1811832790500828,0.34213260011189495,Medium,512,0.8739299372302819,High-Priority,DCPO-AdaBoost,High Latency
53,6,49.22166881710725,56.06600944161709,7.845581631712395,0.6227534032398411,0.9615507321375663,Low,128,0.8856805488290301,Normal,DSR,High Latency
54,6,26.331940096904024,60.34876665964548,54.44969591038651,0.22267607912308496,0.44485243282754083,Low,128,0.7848657729359095,Normal,AODV,Medium Latency
55,4,8.666796363830343,67.64679372263622,70.93208284726096,0.3072164170212709,0.4890484004492832,Medium,64,0.968460760211656,Normal,DSR,Low Latency
56,6,13.68813559331651,80.49889996807697,16.732130400106037,0.5464585417281244,0.35164987234190537,High,256,0.7072618133267589,High-Priority,OLSR,Medium Latency
57,2,1.01769475971859,26.982072012821433,78.06317174255571,0.4171934185645765,0.9095484730121384,Medium,1024,0.8045807408328537,High-Priority,OLSR,Low Latency
58,2,45.7235104473689,82.5049410180062,58.37727805141116,0.1602256009765063,0.5689554832818507,Medium,64,0.9165401264649569,Normal,DSR,High Latency
59,4,5.975779036218042,49.82556822634536,95.22217856975946,0.1709364024208483,0.7621745871816447,High,1024,0.7240268529013484,High-Priority,DSR,Low Latency
60,8,28.868172128161252,7.705827913433117,4.24222982068917,0.41814478816279965,0.8118067183508864,Medium,128,0.7549508582284877,High-Priority,DCPO-AdaBoost,Medium Latency
61,7,13.77535551229158,5.85509292439792,26.5326137555467,0.7572829782755007,0.3418490419172582,High,1024,0.8767857183588553,High-Priority,DSR,Low Latency
62,9,27.75348232553809,33.42383186960608,60.15538792998241,0.8979646468477885,0.43369433132038004,High,256,0.8679981014390674,High-Priority,DSR,Medium Latency
63,8,32.605877378758024,78.48969771114676,29.65599122059307,0.08412766225938284,0.8484717744062646,Medium,64,0.9216784888392865,Normal,DCPO-AdaBoost,High Latency
64,5,41.50411600498936,70.76809347409157,71.44241640712423,0.39310390755940106,0.36325535167581025,High,256,0.9437837917264515,Normal,DSR,High Latency
65,2,10.4004214608541,78.86149646724064,75.9005282521931,0.10024556372287663,0.7939351334518513,Medium,256,0.7385738735535007,High-Priority,OLSR,Medium Latency
66,5,0.6486918500581758,51.72690564416094,10.251596406647446,0.016592480632597884,0.9409923225744371,High,64,0.7055142969325726,High-Priority,DSR,Low Latency
67,8,6.930592940433482,44.01989979554906,51.38544642067677,0.6617186826439566,0.623210373068007,Low,256,0.9068915558976718,High-Priority,AODV,Low Latency
68,9,45.010930228220445,14.745252670628394,50.889055559105586,0.6024494419665878,0.7416272874518889,High,512,0.7904175387299077,High-Priority,OLSR,High Latency
69,9,43.70711487036951,32.81927536093116,36.92807702155411,0.1630191138148862,0.8050973120411349,High,512,0.887795174175386,Normal,DCPO-AdaBoost,High Latency
70,1,29.910913798298385,43.40193661738753,93.29248625696721,0.2338128330930641,0.8450396488966425,Medium,512,0.7451633764186674,High-Priority,OLSR,Medium Latency
71,9,30.065791335639304,8.860042967961723,82.75063198732212,0.02370775364451838,0.39505333785679597,High,1024,0.8407120139997888,Normal,DCPO-AdaBoost,Medium Latency
72,7,33.28533005985815,22.061195271121125,69.72093819096368,0.8349472056944037,0.05126345917599817,Low,256,0.851327423819031,High-Priority,AODV,Medium Latency
73,9,8.851026803310134,59.82252940637388,71.43266357349975,0.9746905960485515,0.4018762712367395,Low,64,0.8755233449119648,Normal,AODV,Low Latency
74,8,45.72915610165549,73.56631142391899,46.17161438131191,0.1354595367946908,0.6737562297840898,High,64,0.8539510048991693,High-Priority,OLSR,High Latency
75,1,20.99664919211445,99.83475113929497,92.09945210965759,0.23147521376529812,0.4503503857807928,High,1024,0.8487072310686141,Normal,DSR,Medium Latency
76,8,19.218612559649923,93.31133313435576,69.45954272532853,0.868409523946934,0.7489631508603986,Low,64,0.7998202461951567,Normal,OLSR,Medium Latency
77,8,25.993993493613594,64.25651995351916,72.89810616558164,0.9264637979561848,0.3569824294686639,Medium,512,0.7213540708954258,Normal,OLSR,Medium Latency
78,3,2.4436017420752467,42.1248053294072,86.16909037873452,0.41962738280681033,0.6347441411040295,Low,256,0.7268560590390527,High-Priority,AODV,Low Latency
79,1,8.397540100928362,63.617736470823274,27.4071589342191,0.050622472269074126,0.18641980485397458,Low,64,0.830133482322146,Normal,DCPO-AdaBoost,Low Latency
80,8,36.927877459675884,78.56516180802319,80.7070903866703,0.0393918336928194,0.7493694366449569,High,64,0.8067379383462979,High-Priority,OLSR,High Latency
81,3,4.23165352946381,11.833619092338733,19.524060295649203,0.5739498660690104,0.5456959688130258,High,128,0.8548404414023494,Normal,DSR,Low Latency
82,3,30.19729026237277,40.99048896962883,34.53419522448878,0.392895108893179,0.20406438854660058,Low,128,0.7914514507768801,Normal,AODV,Medium Latency
83,1,12.342920573097915,83.98022856356172,33.56104542698427,0.028652427577654516,0.29191117349780726,Medium,128,0.9063730274365973,High-Priority,OLSR,Medium Latency
84,5,19.52585114069463,38.3832951933044,97.85254683891405,0.5832523923125568,0.7486087085818324,Low,256,0.9591864466028532,Normal,OLSR,Medium Latency
85,7,14.505817464857923,57.18722712271865,85.65372237479268,0.011302536589022472,0.4826012356615207,Low,512,0.7896589566360602,High-Priority,DSR,Medium Latency
86,9,17.848068551600964,58.77693608621982,70.11698615902597,0.787371958149273,0.2160314403930722,Medium,512,0.7578952023817085,High-Priority,OLSR,Medium Latency
87,7,35.98039066869385,18.447625313363936,72.70567616153902,0.3064328227033716,0.9672711903702976,Low,512,0.7348541722762267,High-Priority,OLSR,High Latency
88,9,14.926373609596432,36.22354416522884,56.20727944025711,0.0402580030092321,0.7151250198168879,Low,256,0.8848762121712437,High-Priority,OLSR,Medium Latency
89,8,28.36359155081517,33.451128874193216,94.70906671085191,0.5883522209831533,0.9571348325397961,High,256,0.8331567973421707,Normal,OLSR,Medium Latency
90,2,23.854915069735075,2.6196708532064794,49.62587528823615,0.3976844144330547,0.4271050453603432,Medium,128,0.7564047151588866,Normal,DSR,Medium Latency
91,1,33.21719115159614,2.4191763891355245,38.05177098698945,0.9738004133571495,0.47510034069172047,High,64,0.8959410199875566,High-Priority,OLSR,Medium Latency
92,7,46.84780399230542,83.16970436757735,16.3035336931591,0.5441986625037022,0.8979552161850192,High,1024,0.7445449549015852,Normal,OLSR,High Latency
93,7,36.65534765079149,27.30708099728124,78.6205652261058,0.2752391810370083,0.5250493402453846,Medium,1024,0.8662902117543858,Normal,OLSR,High Latency
94,8,10.825524891678763,51.80787662388154,73.44439320755914,0.7094388646339748,0.7072789119056672,Medium,64,0.8581445144875794,High-Priority,AODV,Low Latency
95,5,1.6560384395581051,29.872557358877305,38.43550385241349,0.27149200254271133,0.25217287749552997,Low,128,0.9202683403558249,Normal,DSR,Low Latency
96,3,13.186975810561272,94.06792451153404,2.519341395922936,0.9042432914075651,0.44672646870264054,High,64,0.7165328919821999,High-Priority,AODV,Medium Latency
97,8,29.794388741942715,25.929675886577375,83.89973277180107,0.37472197050737643,0.12344986581035511,Medium,64,0.9663618795553991,Normal,AODV,Medium Latency
98,6,2.6661480928640926,42.96568127389351,1.1417983454073632,0.5498685627762052,0.20598003587696168,High,1024,0.9108975178440458,Normal,DSR,Low Latency
99,3,24.868675735341693,87.27302504846018,70.3699779629051,0.05057310382422886,0.000943415267631087,High,128,0.7648377995046286,High-Priority,AODV,High Latency
100,1,29.882458160952773,84.19335667918087,97.02571097260571,0.4261212379522308,0.03926505164866023,Medium,256,0.7550216045829219,Normal,AODV,High Latency
101,3,16.778770151766345,18.610141784627732,43.766132814820345,0.832363539660995,0.9772838231769293,Low,1024,0.829498064243135,Normal,AODV,Low Latency
102,5,38.568518966916514,80.26433097957104,23.497340499595275,0.8056488053633419,0.2423536951367623,High,256,0.945269598863379,High-Priority,DSR,High Latency
103,3,5.419252831375212,45.81868867378927,70.48710100433817,0.22431855885352625,0.663310709504002,Medium,128,0.9528849979417322,Normal,OLSR,Low Latency
104,1,3.849375308616857,48.29688720853552,81.71281420155852,0.22607907101056268,0.8390996987996115,Low,64,0.8561368276418149,High-Priority,DCPO-AdaBoost,Low Latency
105,5,36.43661893455981,13.347997241594378,54.64303160778473,0.8173053122132368,0.5506604592365643,High,512,0.9582432588060212,Normal,DCPO-AdaBoost,Medium Latency
106,7,24.825016678689305,8.060151375712465,96.70352752561462,0.9303984201693255,0.1531445000839562,Medium,512,0.7016331127575072,High-Priority,DSR,Medium Latency
107,7,34.45127958174403,72.79393069737652,5.166872165796111,0.09536092127300355,0.7281164373361664,High,128,0.710552389459479,High-Priority,DCPO-AdaBoost,High Latency
108,9,21.797884196326937,49.646115235529976,50.479559830452814,0.45005863942622526,0.600251410099583,Medium,512,0.9735464780910228,High-Priority,DSR,Medium Latency
109,3,12.395461458631429,43.68507026151796,71.845394732255,0.33745427896422897,0.7312505893473751,Medium,256,0.9325995789657748,High-Priority,DSR,Medium Latency
110,7,40.973205651942564,72.95082286523967,86.2640471149179,0.8706884554574393,0.7697466228570872,High,512,0.8352118174751157,High-Priority,DCPO-AdaBoost,High Latency
111,1,39.99085236055207,76.55128989911097,17.925561190779003,0.08352491468001877,0.9754103676847451,High,128,0.9260830394433961,Normal,AODV,High Latency
112,4,34.7653538956359,15.890816766935355,80.00034817636814,0.2111259425580374,0.57356328002671,Medium,128,0.9866918385170265,Normal,OLSR,High Latency
113,4,13.680042347775139,61.02251494776413,55.27070757185453,0.7524683375864943,0.3416411126906018,Low,256,0.9316268571643855,High-Priority,DCPO-AdaBoost,Medium Latency
114,5,29.552510276767446,13.535408227768553,39.65536819899632,0.051293848981215584,0.6484645569002371,High,512,0.9527114001454966,Normal,DCPO-AdaBoost,Medium Latency
115,7,18.112597457307338,75.13750860290457,13.171502857909356,0.49253538071428926,0.06844070924262613,Medium,512,0.9281819744170186,High-Priority,DCPO-AdaBoost,Medium Latency
116,7,4.6699454589990435,65.69551562671396,86.52957589089124,0.44210703467972,0.8973973183215863,Medium,64,0.7504633277300624,Normal,DCPO-AdaBoost,Low Latency
117,4,45.873947415565915,95.6614621083458,15.727320817971535,0.33440117898874866,0.11938101133819679,Low,1024,0.950072232893721,Normal,DSR,High Latency
118,7,6.927249682856173,6.895801635642118,30.978785920909925,0.3945723153189238,0.32784283788581825,Low,128,0.758532646007263,High-Priority,DSR,Low Latency
119,3,47.51684395565804,5.705472115125431,29.004553196243688,0.5299405869302329,0.8157453806261209,Low,64,0.9677833984132441,High-Priority,OLSR,High Latency
120,6,22.355688070601992,28.218707469320016,87.14140341908544,0.16136735838838312,0.5973123783307118,High,128,0.8375949694243228,Normal,OLSR,Medium Latency
121,2,9.33813314904712,26.170568373590598,67.2702994208898,0.5719958782835928,0.3936355202774421,Medium,64,0.9030930256933085,Normal,DCPO-AdaBoost,Low Latency
122,9,27.14085727418007,24.697879907199983,79.66813971913723,0.8054323292999863,0.4734356593750214,Medium,1024,0.8491722543641931,High-Priority,DCPO-AdaBoost,Medium Latency
123,5,43.659997210232774,90.62545805210367,25.046789879249896,0.760160929790159,0.8545473932021803,Medium,64,0.7281972788249805,Normal,DCPO-AdaBoost,High Latency
124,6,36.6380218318371,24.95461998495061,62.48740996069989,0.15389990469377368,0.34000438605989214,Low,128,0.7872166922861995,Normal,OLSR,High Latency
125,4,40.34740127828634,27.1949726128631,57.17459831437487,0.1492494697414739,0.8696496848121713,Medium,512,0.9951195561991018,High-Priority,DCPO-AdaBoost,High Latency
126,7,32.9732899988648,75.93982624179637,83.28303767882711,0.2681743677449133,0.08813443097669149,High,128,0.9882144255009452,Normal,AODV,High Latency
127,9,34.64460056944084,44.973984245054,90.60870604812605,0.3610747263410372,0.7767984372086307,Low,256,0.7961460692966642,High-Priority,OLSR,High Latency
128,7,42.474863013109434,77.67105569551812,1.2156771477386807,0.4084555814084826,0.8475476330547363,Low,256,0.9988890412735678,High-Priority,AODV,High Latency
129,1,12.558433642073378,6.536615756438524,67.40199190587927,0.6796972168333453,0.18181765283733875,Low,256,0.9536653586490699,High-Priority,DCPO-AdaBoost,Low Latency
130,1,24.52230568579271,48.75711936733843,5.1835799119729025,0.056680432165835404,0.43034653237220044,Low,256,0.8832878498296763,Normal,DSR,Medium Latency
131,9,11.13835114679815,3.3613600183282633,54.88586650773559,0.034672704226066386,0.16549977466365562,High,1024,0.7120373860783028,Normal,AODV,Low Latency
132,9,49.38463359903268,6.265320345535452,28.76327290436782,0.391910562943909,0.7066041289942178,Medium,512,0.9704340488615139,High-Priority,OLSR,High Latency
133,4,47.208561050362,90.64374533444109,30.67765995221412,0.6971636921379805,0.5353477680616567,High,512,0.8672287837792959,High-Priority,AODV,High Latency
134,9,2.067397887288444,13.924537111759516,35.29585034523566,0.19343534295648257,0.635323346708321,Medium,128,0.9605428453608309,Normal,OLSR,Low Latency
135,3,35.308201108532856,53.24206822752171,62.12924490496101,0.6415044812562517,0.19648696695621115,High,64,0.9503287359717227,Normal,DCPO-AdaBoost,High Latency
136,7,46.269891039041724,41.10956026007065,33.40499656687692,0.25982813794029946,0.21174586205241952,Low,128,0.9499018645603259,Normal,AODV,High Latency
137,6,9.110709721853942,34.73433262588427,73.26990505902803,0.8860861088135163,0.04149732550990637,Low,128,0.9094521582144715,High-Priority,DSR,Low Latency
138,8,28.44046700457621,89.98333456872724,40.45273855738697,0.8956899442666165,0.3220675351957297,High,128,0.7874245416028145,High-Priority,AODV,Medium Latency
139,9,45.78286604964329,2.18233967754895,6.835320030995861,0.2972872042813265,0.559744661333675,High,128,0.800848077323356,Normal,DSR,High Latency
140,5,1.7939043314313623,66.37896861755891,78.37598424841073,0.2299937539632405,0.8579349139973288,Medium,512,0.7925407637748059,Normal,OLSR,Low Latency
141,1,34.90127133561731,96.33944342135504,28.5758324592706,0.41130397206623126,0.6669274474586807,High,64,0.7060137998597694,Normal,DCPO-AdaBoost,High Latency
142,3,14.937715467890282,56.016818346184195,43.276687959926264,0.24053158518014872,0.43539632339975143,High,128,0.8747706727644433,High-Priority,DCPO-AdaBoost,Medium Latency
143,8,46.227370149288866,93.68224620330918,68.54438832219016,0.6723838432917036,0.9531201143941378,Medium,512,0.9096501011338098,High-Priority,DSR,High Latency
144,6,48.555806433751854,5.225787928602377,33.2456157148712,0.8260646845482855,0.7192452005758319,Medium,128,0.9561597980575611,Normal,OLSR,High Latency
145,8,47.21889780676035,41.87933190741614,5.658565614671563,0.673092130911217,0.93016520286255,Medium,256,0.742049630014819,Normal,DCPO-AdaBoost,High Latency
146,9,23.76328941120744,26.015779096205115,37.39210470128136,0.8243504472493495,0.5275879732721657,High,128,0.8632549446930405,High-Priority,OLSR,Medium Latency
147,4,43.11592828436674,73.08209649807299,94.44485826943034,0.39699216220747413,0.2589042747931396,Medium,128,0.7024024422021348,High-Priority,DSR,High Latency
148,1,42.243014986900015,98.12970904972467,64.17343972985582,0.15631697070886086,0.052826686364721986,Low,1024,0.7285280943132189,Normal,DSR,High Latency
149,1,16.023113614838458,25.65300624442478,67.1479148667207,0.7379509473975921,0.7260848514838505,Low,256,0.7162635232617979,Normal,AODV,Low Latency
150,4,41.4628821601188,65.41746014740745,63.22821536376399,0.3604745051415539,0.12130299800553412,Low,64,0.917643410204646,Normal,DCPO-AdaBoost,High Latency
151,7,1.9466809723030818,19.809763275974014,19.899213895943678,0.6712708252291325,0.3027751282719672,High,128,0.7243178691632809,High-Priority,DCPO-AdaBoost,Low Latency
152,2,29.853866936254448,56.53302545716099,41.833386410228016,0.27064394198176567,0.5324709078838974,Low,64,0.914935894467637,Normal,AODV,Medium Latency
153,3,11.577440980656382,46.39324866883362,75.09397983633183,0.08122963480667267,0.5644165877797477,High,256,0.774887411323175,High-Priority,DSR,Medium Latency
154,1,6.116287600286212,97.2005329631537,10.137289755315916,0.9925817954877634,0.600583196987136,High,128,0.9633138882090819,High-Priority,DSR,Low Latency
155,5,3.939964761297537,60.85272726964666,27.785277608971228,0.15620150793059928,0.16625533034970064,Low,1024,0.9439449965091442,Normal,DSR,Low Latency
156,1,34.84480991631917,34.950637208681876,27.631910846585363,0.988420993963481,0.37973740482164875,Medium,512,0.9873490652425829,Normal,DSR,Medium Latency
157,8,17.0597606920265,11.409578488793336,43.2018927594506,0.9772799325664473,0.6171942271169667,High,1024,0.9651286046374096,High-Priority,OLSR,Low Latency
158,1,36.2658618992852,15.124682873493455,98.0368740942185,0.7938181039080396,0.9698188646337847,Low,1024,0.9799988257349042,Normal,DCPO-AdaBoost,Medium Latency
159,1,3.3612814058672242,22.53169299512351,6.750254668382194,0.6594229620819976,0.7276311376996887,High,512,0.9576227189539923,High-Priority,DCPO-AdaBoost,Low Latency
160,2,15.832987857747455,25.0966661340298,51.870099438059505,0.5778070502510847,0.9226037570939578,Medium,512,0.9080145701844566,Normal,DSR,Low Latency
161,2,27.020615489529327,85.06160578411378,17.936468201221047,0.8661015453778347,0.762212058314177,Medium,512,0.7510777456376307,Normal,DSR,Medium Latency
162,6,39.55708592546428,56.12227882825249,97.06765454097442,0.28943952161948794,0.5917169688924004,Low,128,0.7815122556562278,Normal,DSR,High Latency
163,7,16.005749896310288,52.33909113743665,11.33035047274642,0.46768121248487704,0.19202336913634455,High,64,0.7638180898390818,Normal,DCPO-AdaBoost,Medium Latency
164,5,31.331979684206754,11.476887186921747,40.36010023615913,0.6193899693665019,0.666685651892513,High,64,0.8810757362974617,High-Priority,DCPO-AdaBoost,Medium Latency
165,1,44.310289636985736,86.0139693349435,73.78849848346061,0.4111904758694911,0.6233795659599071,High,512,0.8510859813920804,High-Priority,DSR,High Latency
166,1,30.831573090297,72.28143032084837,70.45544280274453,0.427486454090268,0.6024691704572664,High,1024,0.9601239991475271,High-Priority,OLSR,High Latency
167,3,11.724677790206325,6.766836190000158,42.272863689393226,0.3302846675020844,0.48978586798824075,Low,256,0.9858018599497227,Normal,AODV,Low Latency
168,2,1.3175989996712472,70.78350972297687,34.652416795271826,0.564231816684536,0.5286566039892756,Medium,512,0.8214579668854433,High-Priority,AODV,Low Latency
169,5,43.5179338076564,54.353821734264606,39.76123785528706,0.850574528015116,0.33444252711810407,Low,1024,0.8519051659842437,High-Priority,AODV,High Latency
170,6,1.1613436014343184,8.172534574677826,26.42762631586393,0.20152837800631285,0.5193126926423032,High,1024,0.9914549070412417,High-Priority,DCPO-AdaBoost,Low Latency
171,7,43.74761346694155,45.830064152865646,20.53329387067998,0.9344330387534414,0.19755590567847825,High,128,0.782871682486943,Normal,DCPO-AdaBoost,High Latency
172,4,26.49396298795788,48.469628713004695,48.303969755889,0.6890876537482297,0.8051743973603768,Medium,128,0.9377172326076441,High-Priority,AODV,Medium Latency
173,7,46.95947815579352,16.577454016327575,26.853375606760732,0.8232732126800302,0.1857769546987078,High,64,0.7675719707005738,Normal,AODV,High Latency
174,8,39.959283465105905,94.56981470002823,28.746166489725013,0.5561906926300116,0.08496628988946642,Low,64,0.9044380346275815,Normal,OLSR,High Latency
175,1,49.89691211561354,84.99753714806619,65.67560634745571,0.7795167014240635,0.43624602635715737,Low,256,0.7760846882915692,High-Priority,DCPO-AdaBoost,High Latency
176,6,17.60051959104034,66.90223373291083,96.85373316998923,0.01620039733946721,0.6583074395060619,Medium,256,0.965120016649416,Normal,DCPO-AdaBoost,Medium Latency
177,8,38.38269561766323,46.22955610006072,60.363720055937506,0.8183804247795352,0.43771682493354136,Low,256,0.868443383121003,High-Priority,AODV,High Latency
178,5,20.156352589101186,41.17655415845085,7.697946706496628,0.04013885908536652,0.2767541319513086,Low,256,0.7557800922623154,High-Priority,OLSR,Medium Latency
